userId,source
020292ab-89bc-4156-9acf-68bc2783f894,other
cf7eda61-9349-469f-ac27-e5b6f5ec475c,bing
8c356c42-3ba9-4cb6-80b8-3f868d0192c3,bing
d9b06b47-0f36-419b-bbb0-3533e582a6cb,other
f32e1e2a-3027-4693-b793-b7b3ff274439,google
17f6b2db-2964-4d11-89d8-7e38d2cb4750,bing
62aa104f-592d-4ccb-8226-2ba0e719ded5,bing
57321726-5d66-4d51-84f4-c797c35dcf2b,google
c2cf55c0-95f7-4269-896c-931d14deaab5,google
48e614d6-fe03-40f7-bf9e-4c4f61c19f64,bing
e5e66067-ea26-4c33-96bb-e36f645ba3aa,other
a63a3a79-08fa-4ec2-895c-50b4eb09b8d0,google
c9c9f6dd-6741-474d-a75b-2334f735f52f,other
c022d269-699f-4151-ab29-20fc1dfff684,bing
a257612c-dda4-4c8c-a625-ee3b59ae1458,other
af9f4d75-530c-40f9-9aab-a5535b84845e,other
08467081-2dea-44ed-ae5e-ac99fbd0afb1,google
c68bdd6d-bad7-4f51-8113-302f2364387c,bing
18b187f3-2571-44ea-a792-6e68a485b8ad,bing
fb667205-a708-4693-832d-363a30022cfc,bing
9dfa242e-8630-480a-806b-5736bcda8f3d,google
1e073228-bb96-4da0-adf8-87472e4247bf,google
6fefbd6f-7053-4c0c-818d-625c83fe5c5f,google
2b39c650-c582-4195-ba16-ade26ee0a72f,google
512b4cbf-a752-42ea-b4f4-1864a8b27fb6,google
95a4e41e-30ce-4ed4-aa4c-c05796786c01,google
0d19961e-f238-4fb3-84aa-d707e2b626ac,google
e570de4f-5cf9-463c-80f6-4d81be19bf47,other
f60a4cd4-f82c-4897-9804-3b7b130b15ac,bing
59013b73-1a5e-4ac0-97dd-81b1a10c8186,bing
21b9ef95-e152-47e6-bb4b-284525c38064,other
1a3361d1-2002-4389-a669-ecb06ea7a90a,bing
be95e2a4-50e3-4763-bc00-1758848d2641,google
057a4dc6-0698-4662-ba56-64f2bc6e0adc,other
8d08e5bf-8f27-4eda-80fa-0c0a087651f3,google
1df586e9-5be6-4b10-9316-a6f5d4fb317d,other
b8646001-525c-4031-9439-330b551726bb,google
1a3be56d-501d-4178-9f1a-059684f0b510,bing
ed13f6f0-08f4-4561-852e-456580f7a40d,bing
73f42828-b55a-4b31-a2ef-aaed3569b3e8,google
6d5f7d73-51f0-42d6-bd4d-6d205342e5f3,bing
753b424d-2925-43bf-a680-171b0e33257c,other
992ee23c-40f5-4497-bcdc-26de744a5b13,other
c7f2249d-2a5d-4415-ad7e-b8e91c840db7,bing
454cbd56-8f1b-47ea-9254-6cf009bd47d9,other
36e6597b-3c03-4013-835e-fcc5902c1299,bing
1f5ca6ef-6074-4fd2-a66a-eaefcdb571a7,other
cb36854f-570a-41f4-baa8-36680b396370,bing
91a9f90c-4bb2-46f0-b58a-65f5a0eac69a,google
5c1acfda-6776-4b34-bd7b-509dd0dd08f6,bing
449d6ea1-eba9-4d67-bd13-f35ac9f0771c,other
f0290ab2-e1af-47fb-9ee8-56144d72eeee,bing
ef8580c3-d3a1-4fe4-91a9-60086d5e1f84,google
1619da97-01da-4c95-91ea-ae25af98796c,bing
392e287b-4e0e-4987-97ff-d95c5b8e727e,google
b6b1774e-c891-4018-b59a-145f7ba4481e,google
e7bd825c-3899-4df1-b6af-3f756d22e699,other
71a735e8-a704-4f79-a88e-ce0cfc5782c4,other
09425f1b-4479-446e-b683-1f0f1257f747,bing
e699b7f9-112e-42ce-930a-401a6015180e,google
14c76dda-2a82-461e-afc4-4035494a22f4,google
b946256d-4b0e-4f14-b326-70309e8a5679,google
f67dad6d-f441-434f-8b43-12dcdb29e31a,bing
af23f38a-cfa8-4e82-83d9-4914c11c1bdb,bing
4c094138-3915-49e0-a621-d583b71d69be,bing
60bb9e31-2ea3-4532-bff3-e913b3e4b8db,other
1daa906e-cf82-4e9c-a408-ce1730d4b64e,bing
593f807c-87d3-49c7-821b-bbe93d797c22,bing
032065eb-5bd5-4c5c-a4df-c60aa44c1e29,other
caad7ad6-2109-4b24-a609-09f2a08ed694,other
2c669a3c-dcd4-4c8a-8f06-3a01cc96bb8e,bing
42e3d891-951e-4c54-8321-c02d6dd0e5c5,google
cb542be7-58a7-41aa-9769-5c5ef7d5b515,bing
8605f190-9838-4506-a314-7ba827acdea7,bing
0001b1d5-b74a-4cbf-aeb0-7df5947bf349,other
7a97a344-0a02-4916-918f-de1e72b22654,other
3f75d72c-a8c1-4db5-bddd-52eee2b1f838,google
0dc93035-78c7-4163-ae0a-2d25c873e4da,other
f5bc9d6e-5ea1-4576-b360-4e93872e7ef3,bing
be1449f6-ca45-4f94-93a7-ea4b079b8f0f,google
ebe1c4c2-d3f7-4229-ab37-56dfd74ffee4,other
d4802c65-210f-4a34-915a-353e4db555f6,bing
75996fc0-d7f1-4b35-ab6d-1a1ee3d8cd13,bing
9b835c74-8ede-4586-9f59-e5473aa48de2,other
236d809d-eeeb-4c49-8e94-11623f3bdb2d,other
a328c7d1-ff5b-41df-822a-bccb105fb408,google
c21daf1f-e787-4a5c-9d92-62cd3dafc9b3,bing
fb67bbdd-f620-4d2f-b96a-cd294fa30b70,google
11e5d8e7-e6fe-43ed-8bff-fd5deb99ffdb,bing
270ef0bb-e020-458f-9ccd-2ce019213872,other
8904521f-8dff-4967-8bd0-18cce4c3d289,google
57e0ac2c-b9c6-493a-b65b-ed19ce54103d,other
c1d86918-fdcc-44ea-b09e-48f2e4fe9a8c,google
a0c0c1f4-a366-42a4-90a0-ff7cf3760d55,bing
0c8a816a-8f1e-49de-bc45-dd1665476747,bing
c446aa0c-be2d-448d-8da0-98f79c90b3e0,other
c01de696-eac0-4777-91e1-baf63d304697,google
bc92b3df-3f2f-4d56-a541-7b6c3a28e49b,bing
fbb9b2cd-80ed-4db9-b1e0-25b0045d3b40,google
ae886d53-f20a-44cd-a5d1-57d7836ab16c,bing
5000eb49-050b-439d-9feb-9002501ec600,google
ecae5875-3f5e-4df4-9f78-a66365252ddd,other
11b7a4c8-bef7-4ec1-9147-1f40ecdc8c0d,bing
d3e4bd00-5979-4dd2-8e21-72ab8001afd2,bing
218647b4-6581-4b61-8ad0-853ee7a6813e,other
2cd22e33-9b46-4aaf-a74d-ab62fa327eae,bing
5347e009-c1d1-4fbb-af84-ececab530a5b,google
fd990f8f-cd18-4e67-bed4-517b1f6f2764,bing
6fd56a18-0548-4330-acd9-de19b8e7915e,bing
2ad3add4-7407-45d8-8d6b-47bfd58fd870,google
d015a54d-76d0-4fc7-b67d-65806bd09fed,google
65422b3b-8cd5-4649-b719-0bd945d92a24,bing
d947bf0b-f01c-4579-ba27-b254e4f43ac9,other
6a9fb127-ab6d-44cd-a3b1-649615aee5cd,bing
fa6c319f-be8b-4e9f-93b5-77638aa2d9d5,google
99e400d3-b766-43a2-b993-0ff2bae68051,bing
c04bf0ba-942e-4ea1-ac7a-5b56542dc6a0,other
fa659439-d6a2-4833-bf02-2cfdd3b81e3f,bing
80cb7e1c-f9fe-4447-8b23-adcaf2a7932f,other
6bf2854b-06f5-4665-90e5-51886c740b4c,bing
bff52fae-1d6e-4693-ae09-54d8036139c0,bing
024828cf-c873-43e6-8c7e-96aeb348699e,bing
5c35dea4-b33c-4012-9d66-e4458c491ad5,bing
7469ddd0-8965-4aec-bc1b-50385d5e6963,bing
9b82832f-b76e-4d3c-b041-f541612f6372,other
9ab0044b-12c3-4fb3-9dec-9050f46397ed,other
cdbc7994-bb5e-4f20-b87a-7da724652d3e,bing
82e10f7e-7283-4d4f-93a1-3710b00475be,bing
c88b0187-dd82-4a29-a471-b1df72a9aacb,other
956c9334-4bff-4d09-9643-81c7955c2af9,other
2af01902-f02a-46f7-a2c8-e46802662f8c,bing
6e2f2cc3-6077-4612-88a1-a2a3c7a6b55c,bing
16d54cc4-8f37-4041-b49b-cd23c374b0b5,other
397f8940-e000-4313-ac59-9cb2ba7febce,bing
f14bb115-1684-4662-b8f4-74228eefa26c,bing
b65e9bc7-17aa-4774-b9f6-29ed77b2c303,bing
b4ea3f12-9a2e-416b-bab6-9a2cea60d307,bing
c2169d8a-3489-449a-b4a2-d62ffdf3a39c,bing
f93c0d9a-3b91-4699-9580-3ed15cbf753e,google
97254524-9a2e-4f7b-9190-3cc0f50ab19c,other
e0d5e097-f7c3-4a93-8488-e5b6f1a61d15,bing
0c3c587a-f5ae-4370-8ff3-7c149b0e3915,bing
d7abb74c-9aad-4558-ba30-297929dc1790,other
30fcdb5c-e6b3-409d-a8f3-a2b26e5e4f25,google
dba7b47e-62f4-475e-9f5e-d842af7225da,other
bff5c186-8d63-4bcd-baac-7f4dca0c2b4b,bing
d5b443e7-53a0-4393-8b07-70a0378c1fda,bing
dc5abd47-f8e4-4dac-93fe-2ff5a19f4bbd,google
8f70bb9d-e9f8-48bb-b18d-fa8d4575da92,other
7e2ecdc9-d832-467e-a6b0-be2dd4643c53,other
f6d32706-cdf0-48b1-a419-fdbecc4235f7,bing
d2b1c231-8f0d-4c07-86fa-f55aa7de612b,other
6015244c-a368-4a92-adc8-4088589ea08a,bing
f2a61cbf-b92b-4c37-a8a1-d82e8fc27f0c,other
34fae11d-37c5-4a2f-ada2-4111788a3707,google
07a043c4-8168-4691-88ce-7b3c563432d2,bing
c697353a-a4c7-44ab-9189-83ba58a241bc,google
54c0732e-f260-4d38-bfec-a5c11329d68a,other
25d83ec9-ab85-4557-b1da-98f8d2d5c312,bing
cbb28eac-6b36-4165-b56e-220b022f1eef,google
853c93bb-722b-474c-b6fa-dbd9eb9d2c12,bing
ce862022-af54-4f39-9dae-da823020c9da,bing
063c0b06-6d9d-4580-8d03-f1c8f19ebfa1,other
4a53a896-a612-4e0a-975f-4536568f5a73,bing
ea4706bf-639a-4d8e-b3c1-f3c66c54c5c1,bing
21903d17-c03e-412f-a49c-2975b6ff072f,other
145009b0-bb47-4239-8afb-ad9a4b21ee2f,bing
3ade5d77-b021-48ec-9c10-59a9e3c5d1f4,google
69ac3d28-c8b6-4931-b229-29c6cf5f92af,bing
5db944f7-2444-4b38-bcbf-b55eb2bf5c50,google
1fc68b5e-374b-4fc8-83cf-ac2307a8556c,google
ffc01466-fdb1-4460-ae94-e800f52eb136,bing
5d86723f-4a74-4866-8f6f-c6aeaae86f34,bing
0cae2b46-1e6f-487f-9455-09f9b469b639,bing
629798f0-b612-4e1a-b5fc-333d99857773,other
498701d9-0833-45c7-aee5-d313fe7e8ef1,bing
6b1c96da-ab05-4140-880b-c5a5410fd4c2,bing
136b7b37-2bd4-4718-b14a-e38bc3d6d112,other
f15c6c88-5083-4331-b213-c8dc9076d517,google
69ec20cc-ca84-4767-99ee-b5864fdde232,google
95a6dc88-4824-4b54-a593-9d7d7b8b3e55,bing
d4a6a666-6788-4263-b929-466a23a64c68,other
4a338fc7-59e4-4797-b704-4f40346996b5,bing
fc90ced6-314c-45e9-8d92-4d6d24bc791f,other
41552cb7-5dec-4634-a61f-fa32bd785050,google
cec85a2a-385e-44be-a574-fea6e4e51a25,bing
00e714c6-66b9-4091-bce0-8589bd65b77c,bing
9085527d-9273-46f2-860d-39e0dcbfbfc2,other
5285fb46-48a7-430e-8507-aa7806736166,bing
b4b47db5-2560-4214-aa19-6e98c943b9c6,other
e0a19ff5-468c-4c47-8dc4-bc4eb9854a96,bing
6c62a7a4-43dc-4fc0-b4cc-abf31b7b2a68,google
13317bd3-6176-4eb6-8ae4-df5e57051ac6,google
1639ae67-438b-4a8c-9193-982928c194a1,bing
860bad3b-3925-43ef-909e-fc1a0d3abea6,google
764c262d-9002-4965-9988-4d47718bf1b5,google
bf615847-1fad-4267-a97e-3406ba6b5600,google
9fdded07-0e40-4ba9-ad74-43cbcc563031,other
19b58d1b-7bff-47fc-a5da-3014413eab02,other
6263c230-0378-4989-9db2-b02b3ff5e8be,bing
89fd43cc-8b02-4bbd-a426-6dca8c2cbe7c,google
bfd6629a-7393-41ef-abb2-7143b1ab3faf,google
5c82cc84-5684-4ab4-a1d5-9138393783ed,other
9753c2eb-9c3c-442b-b27c-87e78f7ceccf,bing
4ad57ec5-c46a-4315-bd12-09f0cbf81ea4,google
392e55e9-bc93-47de-b503-24ba6641a17f,google
275cfff6-32f6-4337-bde3-e27698e1c308,google
77d888f7-6686-44ea-810e-201ebe9eecb4,bing
639d3a09-05e5-43a2-959c-7356ed883611,bing
db299c16-afc8-4ba6-867b-ba2d2041e809,bing
8867658d-357e-43ca-a75f-893356d4833f,other
